num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 16415.0 11571.0 8220.0 68.33704590797424
8 2 27365.0 19933.0 15355.0 110.81555414199829
16 2 39306.0 30057.0 24276.0 183.9289128780365
32 2 56613.0 44269.0 39376.0 266.2966935634613
64 2 78171.0 62235.0 57169.0 371.2356050014496
8 4 27753.0 20169.0 14823.0 98.31369376182556
16 4 40029.0 30310.0 22904.0 135.4749960899353
32 4 56311.0 44097.0 37848.0 216.00074005126953
64 4 78591.0 62533.0 51798.0 223.71740078926086
16 8 39712.0 30223.0 24481.0 168.82246804237366
32 8 56058.0 43922.0 36521.0 185.58614087104797
64 8 77425.0 61352.0 51245.0 307.9498670101166
