num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 20393.0 13038.0 8914.0 69.54746389389038
8 2 42263.0 26860.0 18504.0 119.98765707015991
16 2 82605.0 52749.0 37862.0 184.9178822040558
32 2 155302.0 99215.0 75194.0 280.47644805908203
64 2 279806.0 180725.0 149390.0 416.9956178665161
8 4 42142.0 27185.0 20875.0 124.31846690177917
16 4 82384.0 53063.0 40078.0 161.90946888923645
32 4 155640.0 100125.0 83934.0 248.56904411315918
64 4 278500.0 180280.0 156582.0 262.1345520019531
16 8 82276.0 53427.0 46024.0 332.3185930252075
32 8 156925.0 100994.0 81676.0 257.36408495903015
64 8 279965.0 180416.0 161176.0 455.4143102169037
