num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 5002.0 3270.0 2165.0 12.213182926177979
8 2 10212.0 6493.0 4497.0 19.782938957214355
16 2 19491.0 12562.0 9113.0 30.771748065948486
32 2 35088.0 22425.0 18467.0 44.203531980514526
64 2 57849.0 37007.0 35544.0 65.72315812110901
8 4 10160.0 6719.0 5096.0 18.295224905014038
16 4 19177.0 12376.0 9382.0 25.177537202835083
32 4 35293.0 22805.0 19806.0 36.7253680229187
64 4 57793.0 37161.0 36845.0 39.87927508354187
16 8 19915.0 12471.0 10363.0 37.09080171585083
32 8 34889.0 22450.0 19070.0 35.825356245040894
64 8 57822.0 37627.0 37767.0 59.02087903022766
