num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 65787.0 46087.0 33403.0 646.5937449932098
8 2 110447.0 79995.0 61969.0 1729.0532829761505
16 2 161001.0 123145.0 99274.0 2801.443331718445
32 2 232754.0 182542.0 157005.0 3480.155408859253
64 2 327343.0 262265.0 227547.0 4641.842576980591
8 4 110625.0 80180.0 60983.0 953.815319776535
16 4 161557.0 123306.0 92935.0 1300.4844748973846
32 4 233521.0 183676.0 154893.0 2866.8472666740417
64 4 326892.0 261220.0 214848.0 3107.6455268859863
16 8 162016.0 124060.0 100447.0 1848.0139379501343
32 8 233203.0 183266.0 152739.0 2115.1781239509583
64 8 328386.0 263221.0 217456.0 3365.8608813285828
